Modul,Tablo_Sayisi,Tablolar,Legacy_Adaylari
ADMIN,8,admin_audit_logs; contact_messages; contacts; edge_rate_limits; notifications; phone_verifications; rag_documents; submissions,
AUTH_PROFILE,11,_member_backup_20260609; approval_requests; independent_profiles; individual_profile_details; person_profile_details; profile_onboarding_imports; profile_views; user_cvs; user_feature_overrides; user_profile_attributes; user_role_assignments,_member_backup_20260609; person_profile_details
CADDE,11,cadde_billboard_cards; cadde_cafe_members; cadde_cafes; cadde_cities; cadde_countries; cadde_post_comments; cadde_post_reactions; cadde_posts; cadde_sponsored_placements; cafe_memberships; cafes,cafe_memberships; cafes
CATALOG,37,advisor_details; business_details; catalog_audit_logs; catalog_categories; catalog_claim_requests; catalog_item_attribute_overrides; catalog_item_attributes; catalog_item_categories; catalog_item_contacts; catalog_item_favorites; catalog_item_feature_overrides; catalog_item_languages; catalog_item_links; catalog_item_locations; catalog_item_media; catalog_item_memberships; catalog_item_relations; catalog_item_reports; catalog_item_reviews; catalog_item_section_overrides; catalog_item_services; catalog_item_tags; catalog_item_types; catalog_item_verification_records; catalog_items; catalog_search_documents; community_group_details; duplicate_candidates; entity_metadata; event_details; events; job_posting_details; marketplace_listing_details; merge_history; moderation_queue; organization_details; source_records,catalog_audit_logs; catalog_claim_requests; catalog_item_attribute_overrides; catalog_item_attributes; catalog_item_favorites; catalog_item_feature_overrides; catalog_item_links; catalog_item_media; catalog_item_relations; catalog_item_reports; catalog_item_reviews; catalog_item_section_overrides; catalog_item_verification_records; catalog_search_documents; community_group_details; duplicate_candidates; event_details; job_posting_details; marketplace_listing_details; merge_history; moderation_queue; source_records
DIRECTORY,24,advisor_social_media_links; appointments; city_ambassador_applications; consultant_categories; consultant_social_media_links; contributor_social_media_links; direct_messages; feed_likes; feed_posts; influencer_social_media_links; job_applications; job_listings; matches; messages; service_proposals; service_requests; social_media_links; turkish_mission_relations; turkish_mission_units; turkish_missions; user_connections; user_follows; welcome_pack_orders; welcome_pack_proposals,advisor_social_media_links; consultant_social_media_links; contributor_social_media_links; influencer_social_media_links; messages
GEO,2,geo_cities; geo_countries,
LANSMAN,3,founding_1000_signups; interest_registrations; lansman_registrations,founding_1000_signups
MAY19,2,may19_campaign_submissions; may19_submissions,may19_campaign_submissions
MUHASEBE,2,expenses; incomes,
REFERRAL,7,coupon_purchases; referral_code_usages; referral_codes; referral_codes_legacy; referral_groups; referral_sources; referral_types,referral_codes_legacy
ROLESGO,11,attribute_catalog; feature_catalog; feature_definitions; item_type_attribute_rules; item_type_feature_defaults; item_type_features; profile_section_catalog; role_attribute_rules; role_feature_flags; role_profile_section_rules; roles,feature_definitions; item_type_attribute_rules; item_type_feature_defaults; item_type_features
SURVEYS,4,survey_answers; survey_questions; survey_responses; surveys,
SYSTEM,4,diaspora_city_scan_queue; diaspora_instagram_accounts; diaspora_scan_runs; spatial_ref_sys,
TAXONOMY_LEGACY,4,role_taxonomy_rules; taxonomy_groups; taxonomy_options; user_taxonomy_selections,role_taxonomy_rules; taxonomy_groups; taxonomy_options; user_taxonomy_selections
WHATSAPP_COMMUNITIES,7,generated_posts; wa_messages; wa_tasks; wa_users; whatsapp_join_requests; whatsapp_landing_editors; whatsapp_landings,wa_users
WORKSPACE,17,arge_cards; arge_files; arge_links; command_center_items; command_center_legacy_map; doc_categories; draft_notlar; gorevler; links; marquee_items; meeting_notes; mvp_items; news_posts; resource_entries; site_settings; todo_items; todos,command_center_legacy_map; links; todos
